flag_iso3,flag_is_EU,n_vessels,mean_length,mean_tonnage,tot_tonnage,mean_engine_power,tot_engine_power,fishing_hours,fishing_KWh,bad_subs,ugly_subs
IRL,TRUE,3,37.00703524657143,679.1832991636714,4754.2830941457,1367.6607549473,9573.6252846311,18.069166666666668,29577.06253262663,13551.64866451487,95.01133757281757
ATF,FALSE,1,77.3252501482,2004.3632398425,8017.45295937,2656.2553366279,10625.0213465116,14.33722222222222,38083.32304019789,6894.422993241456,884.1158244057739
WSM,FALSE,1,31.2966566937,189.07130817945,378.1426163589,307.89615983839997,615.7923196767999,12.940833333333329,3984.432888442093,76127.79045821735,15610.95241356007
TUV,FALSE,2,70.73068343998334,1561.5451147531335,9369.2706885188,2519.1822695084334,15115.0936170506,11.653888888888885,30875.235061030762,174724.64929535834,0
EST,TRUE,4,25.48,118.25,473,221,884,10.844166666666666,2396.560833333333,4332.561309281968,118.79612330792148
BGR,TRUE,1,34.2177381591,101.018243799,303.054731397,698.1724990901,2094.5174972703,10.076944444444445,7035.445485969878,825.6154417307946,402.0676583067798
CYM,FALSE,1,79.9956162334,1008.5883637088,1008.5883637088,3775.4206647429,3775.4206647429,7.552499999999998,28513.864570470745,3227.8563201893057,818.9157778727789
THA,FALSE,1,65.03,1178,1178,2446.2457746073164,2446.2457746073164,4.8997222222222225,11985.924782860682,4643119.889051114,17877.826253903124
JAM,FALSE,1,26.3414483068,101.52741800745,101.52741800745,2171.0282867259502,2171.0282867259502,4.249444444444444,9225.664091759329,6681242.860000002,0
GMB,FALSE,2,18.719477183633334,69.1217167303,207.36515019089998,200.91919434743335,602.7575830423,4.055,720.495921149581,9379.010158408595,0
COG,FALSE,1,21.04471095125,39.247925372750004,78.49585074550001,240.95017287795002,481.90034575590005,2.533333333333333,610.4071046241401,718075.4812,0
NCL,FALSE,1,21,93,93,331,331,0.5783333333333334,191.42833333333334,34.65527158693989,4.444066463448613
BMU,FALSE,1,24.9954600419,33.7469372686,33.7469372686,199.6969745317,199.6969745317,0.19083333333333333,38.10883930646608,4.314036685782869,1.0944826404486279
VGB,FALSE,1,26.168372994333332,37.86,37.86,40.444925657716674,40.444925657716674,0.18277777777777776,7.39243363410488,0.8368460041062576,0.21231006848911144
ISR,FALSE,1,19.780661190850005,44.89192749915001,44.89192749915001,207.56687856059997,207.56687856059997,0.10416666666666666,21.621549850062497,0.4439159516044298,0
SWE,TRUE,1,22.1867071787,121.21876995312306,121.21876995312306,369.5170146857077,369.5170146857077,0,0,0,0
