mrgid,pol_type,geoname,iso_sov,x_cen,y_cen,iso_ter,name_ter,name_sov,region
8417,200NM,Dominican Exclusive Economic Zone,DMA,-60.72114,15.49739,DMA,Dominica,Dominica,Latin America & Caribbean
8409,200NM,Dominican Republic Exclusive Economic Zone,DOM,-69.67224,19.13826,DOM,Dominican Republic,Dominican Republic,Latin America & Caribbean
48965,Overlapping claim,Overlapping claim: Venezuela / Aruba / Dominican Republic,DOM,-69.65326,15.30381,DOM,Dominican Republic,Dominican Republic,Latin America & Caribbean
48970,Joint regime,Joint regime area Colombia / Dominican Republic,DOM,-72.50386,15.01851,DOM,Dominican Republic,Dominican Republic,Latin America & Caribbean
48971,Overlapping claim,Overlapping claim: Venezuela / Colombia / Dominican Republic,DOM,-71.09015,15.05334,DOM,Dominican Republic,Dominican Republic,Latin America & Caribbean
48982,Overlapping claim,Overlapping claim: Puerto Rico / Dominican Republic,DOM,-66.84125,20.89448,DOM,Dominican Republic,Dominican Republic,Latin America & Caribbean
48962,Joint regime,Joint regime area Peru / Ecuador,ECU,-82.53248,-3.38858,ECU,Ecuador,Ecuador,Latin America & Caribbean
48968,Joint regime,Joint regime area Costa Rica / Ecuador (Galapagos),ECU,-88.84132,3.22641,ECU,Ecuador,Ecuador,Latin America & Caribbean
48974,Joint regime,Joint regime area Ecuador / Colombia,ECU,-81.43712,1.46058,ECU,Ecuador,Ecuador,Latin America & Caribbean
8403,200NM,Ecuadorian Exclusive Economic Zone (Galapagos),ECU,-90.83174,-0.04184,ECU,Ecuador,Ecuador,Latin America & Caribbean
8431,200NM,Ecuadorian Exclusive Economic Zone,ECU,-82.20864,-0.96556,ECU,Ecuador,Ecuador,Latin America & Caribbean
8428,200NM,El Salvador Exclusive Economic Zone,SLV,-89.74411,11.84859,SLV,El Salvador,El Salvador,Latin America & Caribbean
8389,Overlapping claim,Overlapping claim Falkland / Malvinas Islands: UK / Argentina,GBR,-58.32237,-51.66703,FLK,Falkland Islands,United Kingdom,Latin America & Caribbean
