year,ssvid,flag,vessel_class,length_m,tonnage_gt,engine_power_kw,broadcast_shipname,broadcast_callsign,eez_code,eez_type,eez_name,eez_territory_iso3,eez_sovereign_iso3,eez_sovereign2_iso3,eez_sovereign3_iso3,fishing_hours_year_eez,fishing_KWh_year_eez,fishing_days_year_eez,sovereign_iso3,flag_name,sovereign_name,eez_territory_name,eez_sovereign_name,eez_sovereign2_name,eez_sovereign3_name,is_EU,is_foreign,subs_per_fishing_KWh
2018,412211129,CHN,trawlers,29.8750964992,183.97786843965,372.13584731879996,DANYUBU6029,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,12.00263888888889,4466.612192978248,2,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412211173,CHN,trawlers,28.112028829150002,330.80043520105,326.58345716505,LIAODANYU23516,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,2.418611111111111,789.8783782044695,1,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412211182,CHN,fishing,27.552076264587495,317.4827481795,216.69523764700003,LIAODANYU23733,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,5.193472222222221,1125.4006974075376,1,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412211319,CHN,trawlers,24.730543170799997,160.19207710179998,205.5985231,LIAODANYUYUN25056,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,11.251805555555558,2313.3546044305976,3,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412211597,CHN,trawlers,28.953713318139997,142.72406241453996,284.09483286700004,LIAODANYUYUN25025,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,112.64444444444446,32001.704617840514,13,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412211684,CHN,fishing,14.793943945741667,18.590934401725,170.0911633544334,LIAODANYU 23513,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,191.60236111111115,32589.86850284513,56,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412211821,CHN,dredge_fishing,15.628267022609093,25.860470344654544,183.08680044037274,DANYUBU 6071,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,327.66986111111135,59992.02647157467,73,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412211842,CHN,drifting_longlines,34.836721790599995,293.77526636609997,234.22632783300003,LIAODANYU 25929,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,2.653611111111111,621.5455860524024,2,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412211887,CHN,fishing,31.193244458475,165.39845693680002,518.2637995771502,LIAODANYU25721,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,1.5911111111111111,824.6152899938653,2,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412212164,CHN,other_purse_seines,20.952855796200005,192.21600876879995,297.153451265,LIAODANYUYANG25162,25162,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,13.391388888888887,3979.297425565106,2,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
